folder2_path,matched_folder1_path,status,shape2,dtype2,stats2(vol0_if_4d)
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case001_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2240.000,mean=119.743"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case002_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=8499.000,mean=135.219"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case004_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=4267.000,mean=129.336"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case005_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=9282.000,mean=146.082"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case007_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=5836.000,mean=95.547"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case008_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2952.000,mean=173.718"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case009_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=4267.000,mean=129.336"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case012_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2887.000,mean=166.078"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case013_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2410.000,mean=101.670"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case015_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2793.000,mean=130.056"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case016_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2418.000,mean=96.100"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case017_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2831.000,mean=143.423"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case018_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=3166.000,mean=150.509"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case019_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=1075.000,mean=59.407"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case020_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=3531.000,mean=128.639"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case021_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=6063.000,mean=160.185"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case022_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2396.000,mean=125.917"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case023_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=1673.000,mean=106.277"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case024_0000.nii.gz,,no_match,"(256, 256, 79)",int16,"min=0.000,max=6359.000,mean=227.210"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case025_0000.nii.gz,,no_match,"(256, 256, 75)",int16,"min=0.000,max=4014.000,mean=190.028"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case026_0000.nii.gz,,no_match,"(256, 256, 79)",int16,"min=0.000,max=4232.000,mean=168.625"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case027_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=1260.000,mean=78.962"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case028_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2421.000,mean=133.010"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case029_0000.nii.gz,,no_match,"(256, 256, 79)",int16,"min=0.000,max=3923.000,mean=194.770"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case030_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2271.000,mean=123.696"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case031_0000.nii.gz,,no_match,"(256, 256, 52)",int16,"min=0.000,max=2125.000,mean=128.641"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case032_0000.nii.gz,C:\Users\orilab\Desktop\nifti_folder\0007100648_S003a.nii.gz,match_auto(vol0_if_4d),"(256, 256, 52)",int16,"min=0.000,max=18784.000,mean=375.124"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case033_0000.nii.gz,C:\Users\orilab\Desktop\nifti_folder\0010253999_S006b.nii.gz,match_auto(vol0_if_4d),"(256, 256, 52)",int16,"min=0.000,max=13892.000,mean=225.603"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case034_0000.nii.gz,C:\Users\orilab\Desktop\nifti_folder\0006041058_S003a.nii.gz,match_auto(vol0_if_4d),"(256, 256, 52)",int16,"min=0.000,max=8890.000,mean=169.345"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case035_0000.nii.gz,C:\Users\orilab\Desktop\nifti_folder\0008893374_S004a.nii.gz,match_auto(vol0_if_4d),"(256, 256, 52)",int16,"min=0.000,max=13335.000,mean=319.630"
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case038_0000.nii.gz,C:\Users\orilab\Desktop\nifti_folder\0010130038_S005a.nii.gz,match_auto(vol0_if_4d),"(256, 256, 52)",int16,"min=0.000,max=15489.000,mean=401.516"
