case_id,class,dice,hd95,asd,boundary_iou
case003,nerve,0.0,,,0.0
case003,spinal,0.0,376.17939534582115,364.0527740430482,0.0
case006,nerve,0.0,,,0.0
case006,spinal,0.0,433.9278453342603,408.3059607853642,0.0
case010,nerve,0.0,,,0.0
case010,spinal,0.0,382.4932392610485,288.2912994629711,0.0
case011,nerve,0.0,,,0.0
case011,spinal,0.0,402.7641601858917,221.1115823055293,0.0
case036,nerve,0.0,,,0.0
case036,spinal,,,,
case037,nerve,0.0,,,0.0
case037,spinal,0.0,,,0.0
case039,nerve,0.0,,,0.0
case039,spinal,0.0,,,0.0
case040,nerve,0.0,,,0.0
case040,spinal,0.0,,,0.0
MEAN,nerve,0.0,nan,nan,0.0
MEAN,spinal,0.0,398.8411600317554,320.44040414922824,0.0
MEAN,overall,0.0,398.8411600317554,320.44040414922824,0.0
